s	Dr	Dphi+	Dphi-	Branch	Width	R	G	B	L					
1	1	0.00001	-0.00001	0	0.4	242.5475099	24.7910038	235.398591	0.643973751	0.8				
2	0.96	0	0	2	0.4	248.8741	19.30041331	236.8743784	0.614454305	0.8				
3	0.9216	0.07	-0.07	0	0	252.7176907	14.4467843	238.2934149	0.968436069	0.8				
4	0.884736	0.0714	-0.0714	0	0.286474508	253.9999746	10.25882232	239.6549676	0.698726054	4			1.570796327	-1.570796327
5	0.84934656	0.072828	-0.072828	0	1.036474508	252.6948272	6.761295978	240.9583333	0.900100263	4			0.96	
6	0.815372698	0.07428456	-0.07428456	0	1.963525492	248.8288389	3.974890506	242.2028387	0.631860135	4				
7	0.78275779	0.075770251	-0.075770251	0	2.713525492	242.4807732	1.916085379	243.3878411	0.654667155	0.8				
8	0.751447478	0.077285656	-0.077285656	2	3	233.7799624	0.597056869	244.5127284	0.768034998	0.8			4	13
9	0.721389579	0.078831369	-0.078831369	0	2.713525492	222.9036723	0.025606031	245.5769196	0.627418122	0.8			1	7
10	0.692533996	0.080407997	-0.080407997	0	1.963525492	210.0734908	0.205112564	246.579865	0.626038735	0.8			1	44
11	0.664832636	0.082016157	-0.082016157	0	1.036474508	195.5508132	1.134514822	247.5210467	0.725727501	4			1	9
12	0.638239331	0.08365648	-0.08365648	0	0.286474508	179.631517	2.808316096	248.3999783	0.881395574	4				
13	0.612709757	0.085329609	-0.085329609	0	0	162.6399337	5.216617118	249.2162061	0.915306244	4				
14	0.588201367	0.087036202	-0.087036202	0	0.286474508	144.922241	8.345174612	249.9693084	0.661148711	0.8				
15	0.564673312	0.088776926	-0.088776926	0	1.036474508	126.8394099	12.17548553	250.6588963	0.604533091	0.8				
16	0.54208638	0.090552464	-0.090552464	0	1.963525492	108.7598506	16.68489648	251.2846134	0.733777011	0.8				
17	0.520402925	0.092363513	-0.092363513	0	2.713525492	91.05190653	21.84673772	251.8461368	0.973893854	0.8				
18	0.499586808	0.094210784	-0.094210784	2	3	74.07635023	27.63048087	252.3431763	0.792694847	0.8				
19	0.479603335	0.096094999	-0.096094999	0	2.713525492	58.1790328	34.00191945	252.7754751	0.819405368	0.8				
20	0.460419202	0.098016899	-0.098016899	0	1.963525492	43.6838379	40.92337125	253.1428102	0.600011768	0.8				
21	0.442002434	0.099977237	-0.099977237	0	1.036474508	30.8860831	48.35390111	253.4449916	0.600006034	4				
22	0.424322337	0.101976782	-0.101976782	0	0.286474508	20.04650317	56.24956308	253.6818633	0.880411331	4				
23	0.407349443	0.104016318	-0.104016318	0	0	11.38593807	64.5636603	253.853303	0.602036334	4				
24	0.391055465	0.106096644	-0.106096644	0	0.286474508	5.080833653	73.24702118	253.9592221	0.600726476	0.8				
25	0.375413247	0.108218577	-0.108218577	0	1.036474508	1.259646821	82.24829022	253.9995659	0.988260042	0.8				
26	0.360396717	0.110382948	-0.110382948	0	1.963525492	0.000228447	91.51423173	253.9743136	0.843068616	0.8				
27	0.345980848	0.112590607	-0.112590607	0	2.713525492	1.328237266	100.9900447	253.8834783	0.994991982	0.8				
28	0.332141614	0.11484242	-0.11484242	2	3	5.216617118	110.6196868	253.7271067	0.731466752	0.8				
29	0.31885595	0.117139268	-0.117139268	0	2.713525492	11.58614818	120.3462061	253.5052798	0.797318532	0.8				
30	0.306101712	0.119482053	-0.119482053	0	1.963525492	20.30706093	130.1120775	253.218112	0.890090651	0.8				
31	0.293857643	0.121871694	-0.121871694	0	1.036474508	31.20168005	139.8595434	252.8657517	0.98995826	4				
32	0.282103338	0.124309128	-0.124309128	0	0.286474508	44.04804425	149.5309548	252.448381	0.995532272	4				
33	0.270819204	0.126795311	-0.126795311	0	0	58.58442837	159.0691126	251.9662153	0.648303338	4				
34	0.259986436	0.129331217	-0.129331217	0	0.286474508	74.51467572	168.417606	251.4195037	0.994384446	0.8				
35	0.249586978	0.131917841	-0.131917841	0	1.036474508	91.51423173	177.5211456	250.8085286	0.747283688	0.8				
36	0.239603499	0.134556198	-0.134556198	0	1.963525492	109.2367563	186.3258908	250.1336055	0.617960179	0.8				
37	0.230019359	0.137247322	-0.137247322	0	2.713525492	127.3211799	194.7797684	249.3950832	0.600775668	0.8				
38	0.220818585	0.139992269	-0.139992269	2	3	145.39906	202.8327799	248.593343	0.636044776	0.8				
