s	Dr	Dphi+	Dphi-	Branch	Width	R	G	B	L					
1	1	0.00001	-0.00001	0	0.4	24.7910038	242.5475099	235.398591	0.948096101	0.8				
2	0.96	0	0	2	0.4	19.30041331	248.8741	236.8743784	0.969930347	0.8				
3	0.9216	1.570796327	-1.570796327	0	0	14.4467843	252.7176907	238.2934149	0.985968951	0.8				
4	0.884736	0	0	0	0.286474508	10.25882232	253.9999746	239.6549676	0.996014108	4			1.570796327	-1.570796327
5	0.84934656	0	0	0	1.036474508	6.761295978	252.6948272	240.9583333	0.999941931	4			0.96	
6	0.815372698	0	0	0	1.963525492	3.974890506	248.8288389	242.2028387	0.997703979	4				
7	0.78275779	0	0	0	2.713525492	1.916085379	242.4807732	243.3878411	0.989327852	0.8				
8	0.751447478	0	0	2	3	0.597056869	233.7799624	244.5127284	0.974916854	0.8			4	13
9	0.721389579	0	0	0	2.713525492	0.025606031	222.9036723	245.5769196	0.954648713	0.8			1	7
10	0.692533996	0	0	0	1.963525492	0.205112564	210.0734908	246.579865	0.928773398	0.8			1	44
11	0.664832636	0	0	0	1.036474508	1.134514822	195.5508132	247.5210467	0.897610029	4			1	9
12	0.638239331	0	0	0	0.286474508	2.808316096	179.631517	248.3999783	0.861542941	4				
13	0.612709757	1.570796327	-1.570796327	0	0	5.216617118	162.6399337	249.2162061	0.82101695	4				
14	0.588201367	0	0	0	0.286474508	8.345174612	144.922241	249.9693084	0.776531863	0.8				
15	0.564673312	0	0	0	1.036474508	12.17548553	126.8394099	250.6588963	0.728636313	0.8				
16	0.54208638	0	0	0	1.963525492	16.68489648	108.7598506	251.2846134	0.677920996	0.8				
17	0.520402925	0	0	0	2.713525492	21.84673772	91.05190653	251.8461368	0.625011381	0.8				
18	0.499586808	0	0	2	3	27.63048087	74.07635023	252.3431763	0.570560004	0.8				
19	0.479603335	0	0	0	2.713525492	34.00191945	58.1790328	252.7754751	0.515238411	0.8				
20	0.460419202	0	0	0	1.963525492	40.92337125	43.6838379	253.1428102	0.459728883	0.8				
