s	Dr	Dphi+	Dphi-	Branch	Width	R	G	B	L					
21	0.442002434	0	0	0	1.036474508	48.35390111	30.8860831	253.4449916	0.404716019	4				
22	0.424322337	0	0	0	0.286474508	56.24956308	20.04650317	253.6818633	0.350878289	4				
23	0.407349443	1.570796327	-1.570796327	0	0	64.5636603	11.38593807	253.853303	0.298879676	4				
24	0.391055465	0	0	0	0.286474508	73.24702118	5.080833653	253.9592221	0.249361476	0.8				
25	0.375413247	0	0	0	1.036474508	82.24829022	1.259646821	253.9995659	0.202934396	0.8				
26	0.360396717	0	0	0	1.963525492	91.51423173	0.000228447	253.9743136	0.160171022	0.8				
27	0.345980848	0	0	0	2.713525492	100.9900447	1.328237266	253.8834783	0.121598752	0.8				
28	0.332141614	0	0	2	3	110.6196868	5.216617118	253.7271067	0.087693299	0.8				
29	0.31885595	0	0	0	2.713525492	120.3462061	11.58614818	253.5052798	0.058872817	0.8				
30	0.306101712	0	0	0	1.963525492	130.1120775	20.30706093	253.218112	0.035492749	0.8				
31	0.293857643	0	0	0	1.036474508	139.8595434	31.20168005	252.8657517	0.017841442	4				
32	0.282103338	0	0	0	0.286474508	149.5309548	44.04804425	252.448381	0.006136587	4				
33	0.270819204	1.570796327	-1.570796327	0	0	159.0691126	58.58442837	251.9662153	0.000522541	4				
34	0.259986436	0	0	0	0.286474508	168.417606	74.51467572	251.4195037	0.001068543	0.8				
35	0.249586978	0	0	0	1.036474508	177.5211456	91.51423173	250.8085286	0.007767857	0.8				
36	0.239603499	0	0	0	1.963525492	186.3258908	109.2367563	250.1336055	0.020537863	0.8				
37	0.230019359	0	0	0	2.713525492	194.7797684	127.3211799	249.3950832	0.039221066	0.8				
38	0.220818585	0	0	2	3	202.8327799	145.39906	248.593343	0.063587048	0.8				
39	0.211985842	0	0	0	2.713525492	210.437298	163.1020872	247.7287989	0.093335304	0.8				
40	0.203506408	0	0	0	1.963525492	217.5483477	180.0695893	246.8018977	0.128098949	0.8				
41	0.195366152	0	0	0	1.036474508	224.1238725	195.9558793	245.813118	0.167449243	4				
42	0.187551505	0	0	0	0.286474508	230.1249831	210.437298	244.7629705	0.210900879	4				
43	0.180049445	1.570796327	-1.570796327	0	0	235.5161876	223.2188088	243.6519976	0.25791797	4				
44	0.172847467	0	0	0	0.286474508	240.265601	234.0400076	242.4807732	0.307920655	0.8				
45	0.165933569	0	0	0	1.036474508	244.3451342	242.6804291	241.2499022	0.360292251	0.8				
46	0.159296226	0	0	0	1.963525492	247.7306598	248.9640377	239.9600204	0.41438686	0.8				
47	0.152924377	0	0	0	2.713525492	250.4021549	252.7628146	238.611794	0.469537335	0.8				
48	0.146807402	0	0	2	3	252.3438198	253.9993654	237.2059193	0.525063505	0.8				
49	0.140935106	0	0	0	2.713525492	253.5441709	252.6484973	235.7431225	0.580280567	0.8				
50	0.135297702	0	0	0	1.963525492	253.9961091	248.7377322	234.2241592	0.634507531	0.8				
51	0.129885794	0	0	0	1.036474508	253.6969615	242.3467459	232.6498139	0.687075615	4				
52	0.124690362	0	0	0	0.286474508	252.6484973	233.6057451	231.0208997	0.737336499	4				
53	0.119702747	1.570796327	-1.570796327	0	0	250.8569174	222.6928144	229.3382581	0.784670316	4				
54	0.114914637	0	0	0	0.286474508	248.3328177	209.8302881	227.602758	0.828493299	0.8				
55	0.110318052	0	0	0	1.036474508	245.0911263	195.2802207	225.815296	0.86826498	0.8				
56	0.10590533	0	0	0	1.963525492	241.1510152	179.3390476	223.9767952	0.903494855	0.8				
57	0.101669117	0	0	0	2.713525492	236.5357874	162.3315461	222.0882052	0.933748435	0.8				
58	0.097602352	0	0	2	3	231.2727384	144.604218	220.1505016	0.958652603	0.8				
59	0.093698258	0	0	0	2.713525492	225.3929951	126.5182307	218.1646851	0.977900216	0.8				
60	0.089950328	0	0	0	1.963525492	218.9313317	108.4420588	216.1317814	0.991253893	0.8				
61	0.086352314	0	0	0	1.036474508	211.9259642	90.74397672	214.0528406	0.998548945	4				
62	0.082898222	0	0	0	0.286474508	204.4183239	73.78455595	211.9289363	0.999695402	4				
63	0.079582293	1.570796327	-1.570796327	0	0	196.4528128	57.90931892	209.7611657	0.994679123	4				
64	0.076399001	0	0	0	0.286474508	188.076541	43.44169943	207.5506485	0.983561976	0.8				
65	0.073343041	0	0	0	1.036474508	179.3390476	30.67645324	205.2985262	0.966481066	0.8				
66	0.07040932	0	0	0	1.963525492	170.2920085	19.87365282	203.0059623	0.943647054	0.8				
67	0.067592947	0	0	0	2.713525492	160.9889299	11.25338879	200.6741408	0.91534155	0.8				
68	0.064889229	0	0	2	3	151.4848325	4.991285925	198.3042661	0.881913646	0.8				
69	0.06229366	0	0	0	2.713525492	141.8359259	1.214925048	195.8975622	0.843775608	0.8				
70	0.059801913	0	0	0	1.963525492	132.099276	0.001243768	193.4552723	0.80139779	0.8				
71	0.057409837	0	0	0	1.036474508	122.3324678	1.374968995	190.9786578	0.755302839	4				
72	0.055113443	0	0	0	0.286474508	112.5932645	5.308113166	188.4689979	0.706059243	4				
73	0.052908906	1.570796327	-1.570796327	0	0	102.9392661	11.72054445	185.9275889	0.654274321	4				
74	0.050792549	0	0	0	0.286474508	93.42756874	20.48161931	183.3557433	0.600586737	0.8				
75	0.048760847	0	0	0	1.036474508	84.11442688	31.41284418	180.7547897	0.545658618	0.8				
76	0.046810414	0	0	0	1.963525492	75.0549207	44.29151197	178.1260713	0.490167392	0.8				
77	0.044937997	0	0	0	2.713525492	66.30263032	58.85523941	175.470946	0.434797432	0.8				
78	0.043140477	0	0	2	3	57.90931892	74.80731271	172.7907851	0.380231613	0.8				
79	0.041414858	0	0	0	2.713525492	49.92462656	91.82273263	170.086973	0.327142897	0.8				
80	0.039758264	0	0	0	1.963525492	42.39577666	109.5548359	167.3609061	0.276186024	0.8				
81	0.038167933	0	0	0	1.036474508	35.36729666	127.6423578	164.6139926	0.227989445	4				
82	0.036641216	0	0	0	0.286474508	28.8807547	145.7167927	161.8476512	0.183147567	4				
83	0.035175567	1.570796327	-1.570796327	0	0	22.97451377	163.4099014	159.0633107	0.142213425	4				
84	0.033768545	0	0	0	0.286474508	17.68350479	180.3612137	156.2624094	0.105691859	0.8				
85	0.032417803	0	0	0	1.036474508	13.03902009	196.2253724	153.4463938	0.074033288	0.8				
86	0.031121091	0	0	0	1.963525492	9.068528272	210.6791695	150.6167184	0.047628158	0.8				
87	0.029876247	0	0	0	2.713525492	5.795511788	223.4281307	147.7748449	0.026802122	0.8				
88	0.028681197	0	0	2	3	3.239328053	234.2125155	144.922241	0.011812027	0.8				
89	0.027533949	0	0	0	2.713525492	1.415094957	242.8126083	142.0603802	0.002842746	0.8				
90	0.026432591	0	0	0	1.963525492	0.333601457	249.0531953	139.1907406	4.89672E-06	0.8				
91	0.025375288	0	0	0	1.036474508	0.001243768	252.8071342	136.3148044	0.003333479	4				
92	0.024360276	0	0	0	0.286474508	0.419987534	253.997944	133.434057	0.012787441	4				
93	0.023385865	1.570796327	-1.570796327	0	0	1.587356204	252.6013638	130.5499864	0.028250186	4				
94	0.02245043	0	0	0	0.286474508	3.496445675	248.6458469	127.6640822	0.049531015	0.8				
95	0.021552413	0	0	0	1.036474508	6.135965129	242.2119809	124.777835	0.076367469	0.8				
96	0.020690317	0	0	0	1.963525492	9.490303807	233.430846	121.8927355	0.108428577	0.8				
97	0.019862704	0	0	0	2.713525492	13.53962334	222.4813444	119.010274	0.145318928	0.8				
98	0.019068196	0	0	2	3	18.25997506	209.5865557	116.1319392	0.186583555	0.8				
99	0.018305468	0	0	0	2.713525492	23.62344168	195.0091915	113.2592179	0.231713541	0.8				
100	0.017573249	0	0	0	1.963525492	29.59830233	179.0462435	110.3935938	0.2801523	0.8				
